# Epoca,Train Loss,Train Acc,Valid Loss,Valid Acc,F1-score,Recall,Accuracy,Batch Size,Learning Rate
1,0.8166344765178318,0.5418994413407822,30992744.577777777,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
2,0.7743380482636351,0.6368715083798883,87192.0951388889,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
3,0.6658044274292845,0.6396648044692738,536.5052870008681,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
4,0.6669116513023163,0.7178770949720671,102.70330607096354,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
5,0.6097600956202885,0.6955307262569833,27.98930655585395,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
6,0.4204152283055822,0.8128491620111732,40.14985860188802,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
7,0.23986997859105053,0.9162011173184358,28.873994869656034,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
8,0.19088164146719033,0.958100558659218,15.271509552001953,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
9,0.22824568721835173,0.9189944134078213,5.533689075046116,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
10,0.24883316059768532,0.9189944134078213,2.5338056988186306,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
11,0.4164346975987184,0.9050279329608939,173.62045321994358,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
12,0.09347648506557475,0.9776536312849162,125.33841451009114,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
13,0.07645465806907033,0.9692737430167598,32.815757836235896,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
14,0.09572061624731765,0.9636871508379888,11.473570738898383,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
15,0.17769713379317822,0.958100558659218,2.147544590632121,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
16,0.08548714744978111,0.9776536312849162,6.252804681989882,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
17,0.07897519116295117,0.9720670391061453,4.936006281110975,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
18,0.07865537517813331,0.9804469273743017,2.079031244913737,0.5111111111111112,0.44753623188405794,0.5476190476190476,0.5111111111111111,32,0.001
19,0.06014149185977668,0.9832402234636872,4.716707346174452,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
20,0.06215532240587906,0.9804469273743017,4.306679672665066,0.6222222222222222,0.5407407407407407,0.6666666666666666,0.6222222222222222,32,0.001
21,0.13035512335764962,0.958100558659218,46.44943601820204,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
22,0.1962843683844838,0.9720670391061453,41.64847810533312,0.3111111111111111,0.16091954022988506,0.3333333333333333,0.3111111111111111,32,0.001
23,0.1658998021866356,0.9692737430167598,13.414918263753256,0.3111111111111111,0.16666666666666666,0.3333333333333333,0.3111111111111111,32,0.001
24,0.03974654696174174,0.9916201117318436,12.856480916341146,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
25,0.03441992217438119,0.9944134078212291,25.291388744778104,0.3111111111111111,0.15819209039548024,0.3333333333333333,0.3111111111111111,32,0.001
26,0.03130102285917903,0.9916201117318436,2.5682616657680937,0.48888888888888893,0.4402529127593066,0.49859943977591037,0.4888888888888889,32,0.001
27,0.03411556305701964,0.9916201117318436,1.7775896125369601,0.6888888888888889,0.6641502129307008,0.7212885154061626,0.6888888888888889,32,0.001
28,0.15485715537784653,0.9608938547486033,0.8367799162864685,0.6222222222222222,0.5932003432003432,0.649859943977591,0.6222222222222222,32,0.001
